fips,lgbm_mae,lgbm_rmse,lgbm_wape,actual,predicted,county_name,stateabbr,risk_tier,prophet_mae,prophet_rmse,prophet_wape,winner,wape_diff
02105,0.006851280634275869,0.006851280634275869,0.012913625922786637,0.5305466237942122,0.5236953431599364,Hoonah-Angoon,AK,High,0.0024459020241431,0.0024459020241431,0.0046101547242941,Prophet,-0.008303471198492536
02110,0.022000209773451046,0.022000209773451046,0.10212037670960111,0.21543408360128619,0.19343387382783514,Juneau,AK,Low,0.0309721384874036,0.0309721384874036,0.1437661950683959,LightGBM,0.0416458183587948
02122,0.01593260370031635,0.01593260370031635,0.05567460394155489,0.28617363344051444,0.2702410297401981,Kenai Peninsula,AK,Moderate,0.0046246043783265,0.0046246043783265,0.0161601344006692,Prophet,-0.039514469540885694
02130,0.016619571995731608,0.016619571995731608,0.06010101035665734,0.27652733118971057,0.25990775919397896,Ketchikan Gateway,AK,Moderate,0.0095392623966408,0.0095392623966408,0.034496634945992,Prophet,-0.02560437541066534
02150,0.03485242515222081,0.03485242515222081,0.1484808797580914,0.2347266881028939,0.1998742629506731,Kodiak Island,AK,Low,0.0258073829386527,0.0258073829386527,0.1099465218345344,Prophet,-0.038534357923557
02158,0.002088636014207168,0.002088636014207168,0.0037986304118036796,0.54983922829582,0.5477505922816128,Kusilvak,AK,High,0.0435623644962946,0.0435623644962946,0.0792274582359511,LightGBM,0.07542882782414742
02164,0.00946089199983563,0.00946089199983563,0.01974723095267706,0.4790996784565915,0.4696387864567559,Lake and Peninsula,AK,Moderate,0.0307966988552541,0.0307966988552541,0.0642803580133157,LightGBM,0.044533127060638646
02170,0.020219880246316824,0.020219880246316824,0.08856877121978216,0.22829581993569129,0.20807593968937446,Matanuska-Susitna,AK,Low,0.022501741140422,0.022501741140422,0.0985639647136794,LightGBM,0.009995193493897242
02180,0.0013636810705104918,0.0013636810705104918,0.003476268958432483,0.39228295819935693,0.39091927712884644,Nome,AK,Moderate,0.0157530809231692,0.0157530809231692,0.0401574439926691,LightGBM,0.03668117503423662
02185,0.017387620342109944,0.017387620342109944,0.062155746280416,0.27974276527331193,0.262355144931202,North Slope,AK,Moderate,0.0021269653657854,0.0021269653657854,0.0076032899857387,Prophet,-0.0545524562946773
02188,0.009264304616989405,0.009264304616989405,0.021030647707180328,0.44051446945337625,0.43125016483638684,Northwest Arctic,AK,Moderate,0.0090234572306204,0.0090234572306204,0.0204839065600216,Prophet,-0.0005467411471587261
02195,0.022089727570164364,0.022089727570164364,0.07082376571465068,0.3118971061093248,0.28980737853916044,Petersburg,AK,Moderate,0.0166450453747089,0.0166450453747089,0.0533671042426235,Prophet,-0.01745666147202718
02198,5.248608218622053e-05,5.248608218622053e-05,0.00010882114373276393,0.4823151125401928,0.4822626264580066,Prince of Wales-Hyder,AK,Moderate,0.001004324770489,0.001004324770489,0.0020823000241472,LightGBM,0.001973478880414436
02220,0.02387738156708652,0.02387738156708652,0.09167735391807295,0.26045016077170413,0.2365727792046176,Sitka,AK,Moderate,0.0158147434150773,0.0158147434150773,0.0607208049640623,Prophet,-0.030956548954010656
02230,0.029191792166780722,0.029191792166780722,0.12436503238176447,0.23472668810289385,0.20553489593611313,Skagway,AK,Low,0.022689774425963,0.022689774425963,0.0966646554311575,Prophet,-0.027700376950606967
02240,0.015601593282894233,0.015601593282894233,0.05217307001053879,0.29903536977491957,0.28343377649202534,Southeast Fairbanks,AK,Moderate,0.0066065286689198,0.0066065286689198,0.0220928001724094,Prophet,-0.03008026983812939
02275,0.006768426698846808,0.006768426698846808,0.014617921550981648,0.4630225080385852,0.4562540813397384,Wrangell,AK,Moderate,0.0165300239226423,0.0165300239226423,0.0357002599995956,LightGBM,0.02108233844861395
02282,0.002324299610704794,0.002324299610704794,0.00491739577502851,0.47266881028938906,0.47499310990009386,Yakutat,AK,Moderate,0.000780205922286,0.000780205922286,0.0016506397403466,Prophet,-0.00326675603468191
02290,0.000419408065120086,0.000419408065120086,0.0007127645259691081,0.5884244372990353,0.5880050292339152,Yukon-Koyukuk,AK,High,0.0029511068997305,0.0029511068997305,0.0050152691028207,LightGBM,0.004302504576851592
04001,0.001179810296032091,0.001179810296032091,0.0019413809633120655,0.607717041800643,0.6088968520966751,Apache,AZ,High,0.0164208887884901,0.0164208887884901,0.0270206159429652,LightGBM,0.025079234979653135
04003,0.0015418117671337495,0.0015418117671337495,0.0034007337558765683,0.4533762057877813,0.45183439402064757,Cochise,AZ,Moderate,0.0042807488712521,0.0042807488712521,0.0094419354536128,LightGBM,0.006041201697736232
04005,0.015074102386417598,0.015074102386417598,0.06894185062023342,0.21864951768488747,0.20357541529846987,Coconino,AZ,Low,0.033013229277143,0.033013229277143,0.1509869750763453,LightGBM,0.08204512445611187
04007,0.0036295610494464503,0.0036295610494464503,0.006679251398685481,0.5434083601286173,0.5470379211780637,Gila,AZ,High,0.0158970317855813,0.0158970317855813,0.0292543010965431,LightGBM,0.02257504969785762
04009,0.0002389397078165767,0.0002389397078165767,0.0007506085770803572,0.3183279742765273,0.3185669139843439,Graham,AZ,Moderate,0.008192486541874,0.008192486541874,0.0257359930759881,LightGBM,0.024985384498907744
04011,0.011429390692296842,0.011429390692296842,0.044431756316303986,0.2572347266881028,0.24580533599580598,Greenlee,AZ,Moderate,0.0131261219390426,0.0131261219390426,0.0510277990380281,LightGBM,0.006596042721724114
04012,4.392314011947285e-05,4.392314011947285e-05,5.9651076756139986e-05,0.7363344051446945,0.736378328284814,La Paz,AZ,High,0.0435174485998162,0.0435174485998162,0.0591001157840298,LightGBM,0.059040464707273664
04013,0.01930998555166219,0.01930998555166219,0.07149292269722549,0.27009646302250806,0.25078647747084587,Maricopa,AZ,Moderate,0.0131461228803701,0.0131461228803701,0.0486719549499418,Prophet,-0.022820967747283684
04015,0.0027803497444814917,0.0027803497444814917,0.005304839083029105,0.5241157556270095,0.526896105371491,Mohave,AZ,High,0.0242317835256032,0.0242317835256032,0.0462336483218565,LightGBM,0.0409288092388274
